iter	Passed	Remaining
0	563	562465
1	564	281673
2	566	188341
3	568	141434
4	584	116281
5	589	97684
6	590	83832
7	593	73623
8	597	65760
9	604	59868
10	648	58321
11	713	58775
12	726	55163
13	739	52115
14	754	49573
15	761	46804
16	766	44335
17	769	41965
18	778	40220
19	780	38255
20	782	36460
21	784	34852
22	785	33387
23	787	32025
24	788	30770
25	790	29601
26	819	29518
27	820	28485
28	822	27546
29	824	26648
30	826	25829
31	827	25039
32	829	24298
33	831	23627
34	832	22964
35	840	22494
36	843	21941
37	845	21399
38	846	20865
39	853	20491
40	856	20041
41	863	19699
42	865	19255
43	866	18832
44	885	18785
45	886	18390
46	887	18004
47	889	17635
48	891	17311
49	893	16973
50	896	16675
51	908	16559
52	911	16283
53	924	16204
54	947	16273
55	969	16340
56	972	16082
57	974	15825
58	978	15611
59	985	15433
60	987	15202
61	1184	17922
62	1188	17680
63	1191	17427
64	1197	17230
65	1200	16982
66	1207	16814
67	1210	16591
68	1218	16445
69	1227	16311
70	1229	16086
71	1231	15871
72	1233	15663
73	1234	15451
74	1241	15310
75	1243	15114
76	1244	14915
77	1246	14733
78	1247	14545
79	1249	14366
80	1278	14502
81	1280	14339
82	1286	14212
83	1308	14265
84	1309	14098
85	1310	13932
86	1318	13832
87	1320	13680
88	1321	13523
89	1323	13386
90	1325	13240
91	1330	13134
92	1333	13000
93	1335	12875
94	1338	12752
95	1340	12626
96	1347	12545
97	1349	12420
98	1368	12457
99	1370	12336
100	1372	12216
101	1375	12112
102	1376	11991
103	1378	11878
104	1383	11789
105	1384	11675
106	1406	11736
107	1407	11625
108	1408	11516
109	1412	11424
110	1414	11326
111	1416	11230
112	1417	11130
113	1432	11129
114	1433	11030
115	1436	10948
116	1450	10948
117	1452	10858
118	1460	10810
119	1462	10723
120	1470	10679
121	1471	10587
122	1472	10498
123	1483	10477
124	1501	10510
125	1511	10483
126	1530	10517
127	1532	10437
128	1540	10403
129	1542	10325
130	1564	10378
131	1566	10299
132	1567	10219
133	1580	10216
134	1583	10147
135	1599	10162
136	1612	10160
137	1615	10091
138	1618	10025
139	1627	9998
140	1631	9939
141	1643	9929
142	1645	9860
143	1651	9818
144	1653	9748
145	1654	9676
146	1657	9620
147	1660	9556
148	1666	9519
149	1668	9455
150	1669	9389
151	1671	9323
152	1673	9263
153	1679	9225
154	1680	9163
155	1683	9107
156	1687	9062
157	1690	9007
158	1695	8967
159	1697	8910
160	1697	8847
161	1714	8871
162	1765	9066
163	1779	9072
164	1782	9020
165	1800	9044
166	1848	9218
167	1859	9210
168	1861	9151
169	1863	9098
170	1880	9116
171	1891	9105
172	1895	9060
173	1904	9039
174	1905	8983
175	1909	8939
176	1917	8914
177	1939	8954
178	1940	8900
179	1941	8845
180	1943	8792
181	1950	8767
182	1952	8716
183	1954	8667
184	1956	8619
185	1958	8571
186	1965	8543
187	1966	8494
188	1969	8450
189	1977	8430
190	1980	8386
191	1982	8342
192	1984	8297
193	1993	8282
194	1995	8236
195	1997	8192
196	2034	8291
197	2046	8290
198	2048	8243
199	2049	8199
200	2053	8161
201	2054	8116
202	2056	8075
203	2059	8034
204	2066	8014
205	2068	7972
