iter	Passed	Remaining
0	197	196954
1	198	99004
2	199	66296
3	200	49923
4	202	40268
5	203	33706
6	204	29015
7	205	25496
8	206	22757
9	207	20563
10	208	18766
11	209	17274
12	210	16018
13	212	14942
14	213	13998
15	214	13170
16	215	12442
17	216	11798
18	217	11221
19	218	10699
20	219	10226
21	220	9796
22	282	11989
23	283	11525
24	310	12128
25	312	11703
26	313	11310
27	315	10944
28	316	10610
29	318	10283
30	319	9975
31	320	9687
32	321	9417
33	322	9165
34	323	8922
35	325	8715
36	326	8504
37	327	8299
38	328	8103
39	343	8232
40	393	9204
41	394	9002
42	395	8808
43	400	8695
44	401	8515
45	416	8644
46	417	8473
47	419	8311
48	420	8153
49	421	8000
50	424	7903
51	425	7763
52	426	7626
53	427	7495
54	428	7369
55	429	7247
56	431	7130
57	432	7017
58	433	6907
59	434	6800
60	435	6697
61	436	6599
62	437	6503
63	438	6411
64	439	6321
65	440	6233
66	441	6150
67	442	6059
68	443	5979
69	444	5901
70	445	5826
71	446	5753
72	447	5682
73	481	6019
74	482	5948
75	485	5907
76	488	5853
77	489	5784
78	490	5723
79	491	5657
80	493	5598
81	494	5536
82	495	5475
83	496	5415
84	497	5352
85	507	5393
86	508	5331
87	509	5276
88	510	5221
89	512	5183
90	513	5132
91	515	5088
92	516	5038
93	517	4989
94	518	4941
95	519	4895
96	520	4849
97	521	4804
98	523	4760
99	525	4731
100	526	4688
101	527	4641
102	528	4599
103	575	4956
104	576	4912
105	577	4869
106	578	4831
107	580	4790
108	581	4749
109	582	4710
110	583	4672
111	585	4639
112	587	4609
113	591	4594
114	592	4556
115	593	4524
116	595	4491
117	596	4460
118	597	4423
119	598	4388
120	600	4363
121	601	4330
122	602	4293
123	603	4261
124	604	4229
125	605	4198
126	622	4278
127	623	4244
128	663	4477
129	673	4510
130	675	4477
131	676	4445
132	677	4413
133	687	4440
134	688	4409
135	689	4383
136	691	4357
137	692	4328
138	695	4306
139	696	4277
140	697	4248
141	698	4223
142	699	4195
143	701	4167
144	702	4139
145	703	4112
146	704	4085
147	705	4058
148	706	4032
149	707	4006
150	708	3981
151	709	3955
152	710	3931
153	711	3906
154	715	3899
155	716	3875
156	717	3852
157	718	3829
158	719	3806
159	720	3784
160	721	3761
161	722	3739
162	724	3718
163	725	3696
164	726	3677
165	731	3672
166	732	3651
167	733	3630
168	734	3610
169	735	3590
170	736	3570
171	737	3550
172	738	3531
173	739	3511
174	740	3492
175	743	3481
176	751	3492
177	752	3473
178	753	3455
179	760	3466
180	761	3446
181	762	3427
182	763	3409
183	765	3392
184	766	3375
185	767	3357
186	772	3359
187	773	3342
188	774	3325
189	775	3308
190	776	3291
191	778	3274
192	779	3259
193	780	3242
194	781	3226
195	783	3214
196	785	3200
197	787	3189
198	789	3175
199	790	3160
200	791	3144
201	792	3129
202	793	3114
203	794	3100
204	795	3086
205	806	3110
206	807	3095
207	809	3080
208	810	3065
209	811	3052
210	812	3037
211	813	3023
212	814	3009
213	815	2995
214	816	2981
215	817	2967
216	818	2953
217	822	2949
218	823	2935
219	824	2922
220	825	2909
221	826	2896
222	840	2927
223	843	2922
224	847	2919
225	861	2948
226	862	2938
227	863	2924
228	864	2911
229	865	2898
230	866	2885
231	876	2902
232	878	2890
233	879	2877
234	891	2901
235	892	2889
236	893	2876
237	894	2863
238	895	2851
239	896	2838
240	925	2915
241	927	2903
242	928	2892
243	929	2881
244	931	2869
245	932	2858
246	933	2847
247	935	2835
248	936	2825
249	938	2816
250	940	2805
251	941	2794
252	942	2783
253	943	2772
254	945	2761
255	946	2751
256	970	2805
257	971	2794
258	1016	2907
259	1017	2895
260	1018	2883
261	1020	2873
262	1021	2861
263	1022	2850
264	1023	2838
265	1028	2838
266	1033	2836
267	1035	2828
268	1036	2817
269	1037	2805
270	1038	2794
271	1039	2782
272	1040	2771
273	1041	2760
274	1042	2749
275	1044	2740
276	1045	2729
277	1047	2720
278	1048	2709
279	1052	2705
280	1053	2694
281	1056	2689
282	1057	2678
283	1059	2671
284	1061	2662
285	1062	2652
286	1063	2642
287	1074	2657
288	1085	2670
289	1086	2660
290	1087	2649
291	1088	2639
292	1089	2629
293	1090	2618
294	1091	2608
295	1092	2598
296	1093	2588
297	1098	2587
298	1099	2577
299	1100	2568
300	1101	2558
301	1102	2548
302	1103	2538
303	1104	2529
304	1105	2519
305	1108	2515
306	1110	2507
307	1111	2498
308	1115	2495
